Karaoke Night - Host Behram Siganporia,Nightlife - ,Hard Rock Cafe,St. Marks Road,Mar 25,
Social Night - Vineeth Kumar & Vineeth Vincent,Nightlife - ,Social,Church Street,Mar 25,
High On Heels Night - DJ Villz & DJ John,Nightlife - ,Sanctum Club,Residency Road,Mar 25,
Music Matters Night - Rohan Kapoor,Nightlife - ,The Sugar Factory - Le Meridien,Sankey Road,Mar 25,
Get Down & Boogie Night - DJ Bobby,Nightlife - ,B Flat - HighNote Bar and Dining,Indira Nagar,Mar 25,
Wednesday Night - DJ Vicky,Nightlife - ,I-Bar - The Park,M.G Road,Mar 25,
Rehab Night - DJ Chan,Nightlife - ,PUMA Social Club,Bangalore,Mar 25,
Remi Panossian Jazz Trio - Jazz Concert,Music & Concerts - ,Alliance Francaise de Bangalore,Vasanth Nagar,Mar 25,
Commercial Night - DJ Viju & DJ Shawn,Nightlife - ,Amoeba Sports Bar,Kodi Halli,Mar 25,
Mariachi Night - Viviana,Nightlife - ,Sanchos Bangalore,Bangalore,Mar 25,
Wow Wednesday at WXYZ Bar,Nightlife - ,W XYZ Bar - Aloft Bengaluru Cessna Business Park,Kadubeesana Halli,Mar 25,
Ladies Night - KJ Martin Dsouza,Nightlife - ,Love Shack,Domlur,Mar 25,
Classics Night - DJ Gokul,Nightlife - ,The Tao Terraces,M.G Road,Mar 25,
Ladies Night - DJ Shane,Nightlife - ,Big Pitcher,Old Airport Road,Mar 25,
Wednesday Night - DJ Abi,Nightlife - ,Loft 38,Indira Nagar,Mar 25,
A Walk Down a Winding Path,Music & Concerts - ,1 MG Road Mall,Bangalore,Mar 25 - Mar 29,
Nisha Millets Swim Camps March - April 2015,Sports & Outdoor - ,Ommi Fitness Center,Whitefield,Mar 18 - Mar 30,
DJ Vanshi Live featuring DJ Spyke,Nightlife - ,Indigo Live Music Bar,Koramangala,Mar 28,
DJ Duo Hard Candies Live,Nightlife - ,B Flat - HighNote Bar and Dining,Indira Nagar,Mar 28,
Music Education Initiative- Announcing Course 6,Music & Concerts - ,S.T.Bed Welfare Association Office,Koramangala,Mar 28 - Mar 29,
United Nations of Laughter (Stand Up Comedy),Theatre & Arts - ,B Flat - HighNote Bar and Dining,Indira Nagar,Mar 28,
One Light - Musical Evening,Music & Concerts,ADA Rangamandira,Kalasipalam,Mar 28,
Synchroshakti - Play,Theatre & Arts - ,Jus Trufs Chocolatiers,Jakkur Road,Mar 28,
Flute by Sri. Hemantha and Sri. Herambha,Music & Concerts - ,Saamagana Sangeetha Sabha,Sahakara Nagar,Mar 28,
Bharatanatyam Recital by Sunita Nair,Music & Concerts - ,ADA Rangamandira,Kalasipalam,Mar 28,
Maari Kaadu - Play,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Mar 27 - Mar 28,
VRC ACADEMY OF MUSIC&DANCE,Music & Concerts - ,ADA Rangamandira,Kalasipalam,Mar 28,
Eventurouz ll Saturday ''Danzation'' 28th Feb @What The F? ,Nightlife - ,What the F - Food and Fun,St. Marks Road,Feb 28 - Aug 22,
Adhe Adhure - Play,Theatre & Arts - ,Jus Trufs Chocolatiers,Jakkur Road,Mar 29,
Desi Karaoke Night with DJ Vcky,Nightlife - ,No Limits Lounge & Club,Ashok Nagar,Mar 29,
Choodaala - Puppet Show,Theatre & Arts - ,Dhaatu,Banashankari,Mar 29,
Dance Concert - Footlights 6-The Annual Student Showcase,Music & Concerts - ,Alliance Francaise de Bangalore,Vasanth Nagar,Mar 29,
Bechara Maara Gaya - Play,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Mar 29,
Bangalore Comic Con 2015!,Theatre & Arts - ,White Orchid,Bangalore,Apr 03 - Apr 05,
event,type,place,place1,date,time
Gaste In India 1905 to 1910: Exhibition,Arts & Crafts,National Gallery Of Modern Art, Vasanth Nagar,"Mar 24, 2015 ",10:00 AM AM to 07:00 PM AM
Cartoon Exhibition: Sanketh Gurudath,Arts & Crafts,Indian Cartoon Gallery, MG Road,"Mar 24, 2015 ",11:00 AM AM Onwards
War Horse: National Theatre,Films,Phoenix Market City, Whitefield,"Mar 24, 2015 ",04:00 PM AM Onwards
Jollies At Jagriti: Out Of My System,Standup & Theater,Jagriti Theatre, Whitefield,"Mar 25, 2015",08:00 PM AM Onwards
Remi Panossian Jazz Trio: Concert,Music & Dance,Alliance Francaise De Bangalore, Vasanth Nagar,"Mar 25, 2015",07:00 PM AM Onwards
Gaste In India 1905 to 1910: Exhibition,Arts & Crafts,National Gallery Of Modern Art, Vasanth Nagar,"Mar 25, 2015",10:00 AM AM to 07:00 PM AM
Neolithic Silence,Nightlife,Indigo Live Music Bar, Koramangala,"Mar 26, 2015",08:00 PM AM Onwards
Supermash: Live,Nightlife,Vapour, Indiranagar,"Mar 26, 2015",08:00 PM AM Onwards
The Improvisers,Standup & Theater,The Humming Tree, Indiranagar,"Mar 26, 2015",09:00 PM AM Onwards
Rajeshh Thaker Live In Concert ,Music & Dance,Phoenix Market City, Whitefield,"Mar 27, 2015",06:30 PM AM Onwards
Your Chin: Live,Nightlife,The Humming Tree, Indiranagar,"Mar 27, 2015",09:00 PM AM Onwards
Lagori And Parvaaz: Live,Nightlife,Indigo Live Music Bar, Koramangala,"Mar 27, 2015",09:00 PM AM Onwards
Zumba Fitness Party,Music & Dance,Decathlon, Whitefield,"Mar 28, 2015",05:30 PM AM Onwards
One Light: Bharatnatyam Recital,Music & Dance,ADA Rangamandira, JC Road,"Mar 28, 2015",06:00 PM AM Onwards
Sky Rabbit: Live,Nightlife,The Humming Tree, Indiranagar,"Mar 28, 2015",09:00 PM AM Onwards
Stand-Up Comedy ,Standup & Theater,The Sugar Factory, Malleshwaram,"Mar 29, 2015",08:00 PM AM Onwards
Italian Food Festival,Food & Drink,Bene, Malleshwaram,"Mar 29, 2015",12:00 PM PM to 11:30 PM AM
Sindhi Food Festival,Food & Drink,Terracotta, Whitefield,"Mar 29, 2015",07:00 PM AM Onwards
Street Food Festival,Food & Drink,Church Street Social, Church Street,"Mar 30, 2015",09:00 AM AM to 11:00 PM AM
Vietnamese Culinary Feast,Food & Drink,Shiro, Vittal Mallya Road,"Mar 30, 2015",12:00 PM PM Onwards
Strokes Of Expression,Arts & Crafts,Gallery Third Eye, Sampangirama Nagar,"Mar 30, 2015",10:30 AM AM to 06:00 PM AM
"Stage42 Comedy, Music, Theatre",Theatre & Arts - ,Bangalore,Bangalore,Feb 01 - Mar 31,
86th Ramothsava Programme,Music & Concerts - ,Sri Rama Kalyana Mandira,Srirampuram,Mar 21 - Mar 29,
Happy Hour - Buy 1 Get 1 Free at No Limmits Lounge & Bar,Nightlife - ,No Limits Lounge & Club,Ashok Nagar,Mar 24 - Mar 31,
Milkshake Night - DJ Nash,Nightlife - ,The Warehouse,Indira Nagar,Mar 25,
Wow Wednesday at Nook,Nightlife - ,Nook - Aloft Bengaluru Cessna Business Park,Bangalore,Mar 25,
Karaoke Night - Host Behram Siganporia,Nightlife - ,Hard Rock Cafe,St. Marks Road,Mar 25,
Social Night - Vineeth Kumar & Vineeth Vincent,Nightlife - ,Social,Church Street,Mar 25,
High On Heels Night - DJ Villz & DJ John,Nightlife - ,Sanctum Club,Residency Road,Mar 25,
Music Matters Night - Rohan Kapoor,Nightlife - ,The Sugar Factory - Le Meridien,Sankey Road,Mar 25,
Get Down & Boogie Night - DJ Bobby,Nightlife - ,B Flat - HighNote Bar and Dining,Indira Nagar,Mar 25,
Wednesday Night - DJ Vicky,Nightlife - ,I-Bar - The Park,M.G Road,Mar 25,
Rehab Night - DJ Chan,Nightlife - ,PUMA Social Club,Bangalore,Mar 25,
Ladies Night With Electro Smashers,Nightlife - ,No Limits Lounge & Club,Ashok Nagar,Mar 25,
Remi Panossian Jazz Trio - Jazz Concert,Music & Concerts - ,Alliance Francaise de Bangalore,Vasanth Nagar,Mar 25,
Commercial Night - DJ Viju & DJ Shawn,Nightlife - ,Amoeba Sports Bar,Kodi Halli,Mar 25,
Mariachi Night - Viviana,Nightlife - ,Sanchos Bangalore,Bangalore,Mar 25,
Wow Wednesday at WXYZ Bar,Nightlife - ,W XYZ Bar - Aloft Bengaluru Cessna Business Park,Kadubeesana Halli,Mar 25,
Ladies Night - KJ Martin Dsouza,Nightlife - ,Love Shack,Domlur,Mar 25,
Classics Night - DJ Gokul,Nightlife - ,The Tao Terraces,M.G Road,Mar 25,
Wednesday Night - DJ Abi,Nightlife - ,Loft 38,Indira Nagar,Mar 25,
A Walk Down a Winding Path,Music & Concerts - ,1 MG Road Mall,Bangalore,Mar 25 - Mar 29,
William Shakespeare's Tempest - Play,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Mar 25 - Mar 26,
Nisha Millets Swim Camps March - April 2015,Sports & Outdoor - ,Ommi Fitness Center,Whitefield,Mar 18 - Mar 30,
DJ Vanshi Live featuring DJ Spyke,Nightlife - ,Indigo Live Music Bar,Koramangala,Mar 28,
Blockbuster Holly-Bollywood Carnival 80 with DJ MK,Nightlife - ,No Limits Lounge & Club,Ashok Nagar,Mar 28,
DJ Duo Hard Candies Live,Nightlife - ,B Flat - HighNote Bar and Dining,Indira Nagar,Mar 28,
Music Education Initiative- Announcing Course 6,Music & Concerts - ,S.T.Bed Welfare Association Office,Koramangala,Mar 28 - Mar 29,
United Nations of Laughter (Stand Up Comedy),Theatre & Arts - ,B Flat - HighNote Bar and Dining,Indira Nagar,Mar 28,
"3D' - A Musical Journey of Legendary Dilip Kumar, Dev Anand & Dharmentdra",Music & Concerts,Chowdiah Memorial Hall,Malleswaram,Mar 28,
One Light - Musical Evening,Music & Concerts,ADA Rangamandira,Kalasipalam,Mar 28,
Synchroshakti - Play,Theatre & Arts - ,Jus Trufs Chocolatiers,Jakkur Road,Mar 28,
Flute by Sri. Hemantha and Sri. Herambha,Music & Concerts - ,Saamagana Sangeetha Sabha,Sahakara Nagar,Mar 28,
77th Sree Ramanavami National Music Festival - Day 1,Music & Concerts - ,Sree Ramaseva Mandali,Rajaji Nagar,Mar 28,
77th Sree Ramanavami National Music Festival,Music & Concerts - ,Sree Ramaseva Mandali,Rajaji Nagar,Mar 28 - Apr 23,
Bharatanatyam Recital by Sunita Nair,Music & Concerts - ,ADA Rangamandira,Kalasipalam,Mar 28,
Maari Kaadu - Play,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Mar 27 - Mar 28,
VRC ACADEMY OF MUSIC&DANCE,Music & Concerts - ,ADA Rangamandira,Kalasipalam,Mar 28,
Eventurouz ll Saturday ''Danzation'' 28th Feb @What The F? ,Nightlife - ,What the F - Food and Fun,St. Marks Road,Feb 28 - Aug 22,
Desi Karaoke Night with DJ Vcky,Nightlife - ,No Limits Lounge & Club,Ashok Nagar,Mar 29,
Choodaala - Puppet Show,Theatre & Arts - ,Dhaatu,Banashankari,Mar 29,
77th Sree Ramanavami National Music Festival - Day 2,Music & Concerts - ,Sree Ramaseva Mandali,Rajaji Nagar,Mar 29,
Dance Concert - Footlights 6-The Annual Student Showcase,Music & Concerts - ,Alliance Francaise de Bangalore,Vasanth Nagar,Mar 29,
Bechara Mara Gaya - Play,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Mar 29,
Bechara Maara Gaya - Play,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Mar 29,
Bangalore Comic Con 2015!,Theatre & Arts - ,White Orchid,Bangalore,Apr 03 - Apr 05,
Vocal Concert by Vid. Sampagodu Vighnaraja,Music & Concerts - ,Augusta Club,J.P Nagar,Apr 04,
77th Sree Ramanavami National Music Festival - Day 8,Music & Concerts - ,Sree Ramaseva Mandali,Rajaji Nagar,Apr 04,
event,type,place,place1,date,time
Gaste In India 1905 to 1910: Exhibition,Arts & Crafts,National Gallery Of Modern Art, Vasanth Nagar,"Mar 24, 2015 ",10:00 AM AM to 07:00 PM AM
Cartoon Exhibition: Sanketh Gurudath,Arts & Crafts,Indian Cartoon Gallery, MG Road,"Mar 24, 2015 ",11:00 AM AM Onwards
War Horse: National Theatre,Films,Phoenix Market City, Whitefield,"Mar 24, 2015 ",04:00 PM AM Onwards
Jollies At Jagriti: Out Of My System,Standup & Theater,Jagriti Theatre, Whitefield,"Mar 25, 2015",08:00 PM AM Onwards
Remi Panossian Jazz Trio: Concert,Music & Dance,Alliance Francaise De Bangalore, Vasanth Nagar,"Mar 25, 2015",07:00 PM AM Onwards
Gaste In India 1905 to 1910: Exhibition,Arts & Crafts,National Gallery Of Modern Art, Vasanth Nagar,"Mar 25, 2015",10:00 AM AM to 07:00 PM AM
Neolithic Silence,Nightlife,Indigo Live Music Bar, Koramangala,"Mar 26, 2015",08:00 PM AM Onwards
Supermash: Live,Nightlife,Vapour, Indiranagar,"Mar 26, 2015",08:00 PM AM Onwards
The Improvisers,Standup & Theater,The Humming Tree, Indiranagar,"Mar 26, 2015",09:00 PM AM Onwards
Rajeshh Thaker Live In Concert ,Music & Dance,Phoenix Market City, Whitefield,"Mar 27, 2015",06:30 PM AM Onwards
Your Chin: Live,Nightlife,The Humming Tree, Indiranagar,"Mar 27, 2015",09:00 PM AM Onwards
Lagori And Parvaaz: Live,Nightlife,Indigo Live Music Bar, Koramangala,"Mar 27, 2015",09:00 PM AM Onwards
Zumba Fitness Party,Music & Dance,Decathlon, Whitefield,"Mar 28, 2015",05:30 PM AM Onwards
One Light: Bharatnatyam Recital,Music & Dance,ADA Rangamandira, JC Road,"Mar 28, 2015",06:00 PM AM Onwards
Sky Rabbit: Live,Nightlife,The Humming Tree, Indiranagar,"Mar 28, 2015",09:00 PM AM Onwards
Stand-Up Comedy ,Standup & Theater,The Sugar Factory, Malleshwaram,"Mar 29, 2015",08:00 PM AM Onwards
Italian Food Festival,Food & Drink,Bene, Malleshwaram,"Mar 29, 2015",12:00 PM PM to 11:30 PM AM
Sindhi Food Festival,Food & Drink,Terracotta, Whitefield,"Mar 29, 2015",07:00 PM AM Onwards
Street Food Festival,Food & Drink,Church Street Social, Church Street,"Mar 30, 2015",09:00 AM AM to 11:00 PM AM
Vietnamese Culinary Feast,Food & Drink,Shiro, Vittal Mallya Road,"Mar 30, 2015",12:00 PM PM Onwards
Strokes Of Expression,Arts & Crafts,Gallery Third Eye, Sampangirama Nagar,"Mar 30, 2015",10:30 AM AM to 06:00 PM AM
"Stage42 Comedy, Music, Theatre",Theatre & Arts - ,Bangalore,Bangalore,Feb 01 - Mar 31,
86th Ramothsava Programme,Music & Concerts - ,Sri Rama Kalyana Mandira,Srirampuram,Mar 21 - Mar 29,
Happy Hour - Buy 1 Get 1 Free at No Limmits Lounge & Bar,Nightlife - ,No Limits Lounge & Club,Ashok Nagar,Mar 24 - Mar 31,
A Walk Down a Winding Path,Music & Concerts - ,1 MG Road Mall,Bangalore,Mar 25 - Mar 29,
Hip House Night with DJ Thasi,Nightlife - ,No Limits Lounge & Club,Ashok Nagar,Mar 26,
Thursday Karaoke Nite by KJ Kamal Dayya,Nightlife - ,Take 5 Lounge,Indira Nagar,Mar 26,
Claim Your Beverage Voucher at WXYZ Bar,Nightlife - ,W XYZ Bar - Aloft Bengaluru Cessna Business Park,Kadubeesana Halli,Mar 26,
Happy Hour at Rasta Cafe,Nightlife - ,Rasta Cafe,Mysore Road,Mar 23 - Apr 30,
William Shakespeare's Tempest - Play,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Mar 25 - Mar 26,
Nisha Millets Swim Camps March - April 2015,Sports & Outdoor - ,Ommi Fitness Center,Whitefield,Mar 18 - Mar 30,
United Nations of Laughter (Stand Up Comedy),Theatre & Arts - ,B Flat - HighNote Bar and Dining,Indira Nagar,Mar 28,
77th Sree Ramanavami National Music Festival,Music & Concerts - ,Sree Ramaseva Mandali,Rajaji Nagar,Mar 28 - Apr 23,
DJ Vanshi Live featuring DJ Spyke,Nightlife - ,Indigo Live Music Bar,Koramangala,Mar 28,
"3D' - A Musical Journey of Legendary Dilip Kumar, Dev Anand & Dharmentdra",Music & Concerts,Chowdiah Memorial Hall,Malleswaram,Mar 28,
Blockbuster Holly-Bollywood Carnival 80 with DJ MK,Nightlife - ,No Limits Lounge & Club,Ashok Nagar,Mar 28,
Flute by Sri. Hemantha and Sri. Herambha,Music & Concerts - ,Saamagana Sangeetha Sabha,Sahakara Nagar,Mar 28,
77th Sree Ramanavami National Music Festival - Day 1,Music & Concerts - ,Sree Ramaseva Mandali,Rajaji Nagar,Mar 28,
Synchroshakti - Play,Theatre & Arts - ,Jus Trufs Chocolatiers,Jakkur Road,Mar 28,
DJ Duo Hard Candies Live,Nightlife - ,B Flat - HighNote Bar and Dining,Indira Nagar,Mar 28,
Music Education Initiative- Announcing Course 6,Music & Concerts - ,S.T.Bed Welfare Association Office,Koramangala,Mar 28 - Mar 29,
'Ek Ehsaas' Live In Concert by Ustad Ghulam Ali Khan,Music & Concerts,Phoenix Market City,Mahadevapura,Mar 28,
One Light - Musical Evening,Music & Concerts,ADA Rangamandira,Kalasipalam,Mar 28,
Maari Kaadu - Play,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Mar 27 - Mar 28,
VRC ACADEMY OF MUSIC&DANCE,Music & Concerts - ,ADA Rangamandira,Kalasipalam,Mar 28,
Eventurouz ll Saturday ''Danzation'' 28th Feb @What The F? ,Nightlife - ,What the F - Food and Fun,St. Marks Road,Feb 28 - Aug 22,
Choodaala - Puppet Show,Theatre & Arts - ,Dhaatu,Banashankari,Mar 29,
Bechara Mara Gaya - Play,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Mar 29,
Dance Concert - Footlights 6-The Annual Student Showcase,Music & Concerts - ,Alliance Francaise de Bangalore,Vasanth Nagar,Mar 29,
Desi Karaoke Night with DJ Vcky,Nightlife - ,No Limits Lounge & Club,Ashok Nagar,Mar 29,
Adhe Adhure - Play,Theatre & Arts - ,Jus Trufs Chocolatiers,Jakkur Road,Mar 29,
77th Sree Ramanavami National Music Festival - Day 2,Music & Concerts - ,Sree Ramaseva Mandali,Rajaji Nagar,Mar 29,
Bechara Maara Gaya - Play,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Mar 29,
Bangalore Comic Con 2015!,Theatre & Arts - ,White Orchid,Bangalore,Apr 03 - Apr 05,
Vocal Concert by Vid. Sampagodu Vighnaraja,Music & Concerts - ,Augusta Club,J.P Nagar,Apr 04,
77th Sree Ramanavami National Music Festival - Day 8,Music & Concerts - ,Sree Ramaseva Mandali,Rajaji Nagar,Apr 04,
event,type,place,place1,date,time
Street Food Festival,Food & Drink,Church Street Social, Church Street,"Mar 30, 2015 ",09:00 AM AM to 11:00 PM AM
Strokes Of Expression,Arts & Crafts,Gallery Third Eye, Sampangirama Nagar,"Mar 30, 2015 ",10:30 AM AM to 06:00 PM AM
History Of France Told By Advertising: Exhibition,Arts & Crafts,Alliance Francaise De Bangalore, Vasanth Nagar,"Mar 30, 2015 ",10:00 AM AM to 07:00 PM AM
Street Food Festival,Food & Drink,Church Street Social, Church Street,"Mar 31, 2015",09:00 AM AM to 11:00 PM AM
Strokes Of Expression,Arts & Crafts,Gallery Third Eye, Sampangirama Nagar,"Mar 31, 2015",10:30 AM AM to 06:00 PM AM
History Of France Told By Advertising: Exhibition,Arts & Crafts,Alliance Francaise De Bangalore, Vasanth Nagar,"Mar 31, 2015",10:00 AM AM to 07:00 PM AM
Executive Lunch,Food & Drink,The Lantern, Residency Road,"Apr 1, 2015",12:00 PM PM to 06:00 PM AM
Rivayaat,Food & Drink,Le Jardin, MG Road,"Apr 1, 2015",07:00 PM AM to 11:30 PM AM
Sunday Brunch,Food & Drink,District 6, Malleshwaram,"Apr 1, 2015",12:00 PM PM to 04:00 PM AM
Sulh e Kul: Screening,Films,Bangalore International Centre, Domlur,"Apr 2, 2015",06:30 PM AM Onwards
Executive Lunch,Food & Drink,The Lantern, Residency Road,"Apr 2, 2015",12:00 PM PM to 06:00 PM AM
Rivayaat,Food & Drink,Le Jardin, MG Road,"Apr 2, 2015",07:00 PM AM to 11:30 PM AM
Laugh Ok Please,Standup & Theater,Courtyard, Whitefield,"Apr 3, 2015",07:30 PM AM Onwards
Gati,Standup & Theater,Ranga Shankara, JP Nagar,"Apr 3, 2015",03:30 PM AM Onwards
Laugh Of The Titans,Standup & Theater,Chowdiah Memorial Hall, Malleshwaram,"Apr 3, 2015",07:00 PM AM Onwards
The Little Old Pail: Book Reading,Books,Atta Galatta, Koramangala,"Apr 4, 2015",06:00 PM AM to 07:00 PM AM
Living Legends And Budding Masters: Concert,Music & Dance,Alliance Francaise De Bangalore, Vasanth Nagar,"Apr 4, 2015",06:30 PM AM Onwards
Jazz Theatre: Farah Siraj,Nightlife,Windmills Craftworks, Whitefield,"Apr 4, 2015",09:30 PM AM Onwards
The House With The Green Roof,Books,Atta Galatta, Koramangala,"Apr 5, 2015",05:00 PM AM to 06:00 PM AM
Bechara Mara Gaya,Standup & Theater,Atta Galatta, Koramangala,"Apr 5, 2015",07:30 PM AM Onwards
Easter Brunch,Food & Drink,Alba , Vittal Mallya Road,"Apr 5, 2015",12:30 PM PM to 03:30 PM AM
"Stage42 Comedy, Music, Theatre",Theatre & Arts - ,Bangalore,Bangalore,Feb 01 - Mar 31,
Happy Hour - Buy 1 Get 1 Free at No Limmits Lounge & Bar,Nightlife - ,No Limits Lounge & Club,Ashok Nagar,Mar 24 - Mar 31,
77th Sree Ramanavami National Music Festival,Music & Concerts - ,Sree Ramaseva Mandali,Rajaji Nagar,Mar 28 - Apr 23,
Ramanavami Music Festival by Sri Rama Seva Mandali,Music & Concerts - ,Indian Heritage Academy,Koramangala,Mar 28 - Apr 02,
Mojito Tuesday Night at No Limits Lounge & bar,Nightlife - ,No Limits Lounge & Club,Ashok Nagar,Mar 31,
Tuesday Night - DJ Abi,Nightlife - ,Loft 38,Indira Nagar,Mar 31,
Tuesday Night - VIJU,Nightlife - ,Amoeba Sports Bar,Kodi Halli,Mar 31,
77th Sree Ramanavami National Music Festival - Day 4,Music & Concerts - ,Sree Ramaseva Mandali,Rajaji Nagar,Mar 31,
Buskya Night - Guest Performers,Nightlife - ,Opus,Palace Road,Mar 31,
Candy Shop Night - DJ Nash & DJ Raghu,Nightlife - ,Pebble - The Jungle Lounge,Sadashiva Nagar,Mar 31,
Mojito Night with DJ Viky,Nightlife - ,No Limits Lounge & Club,Ashok Nagar,Mar 31,
Chirebandi Vaade - Play,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Mar 31,
Bangalore Comic Con 2015!,Theatre & Arts - ,White Orchid,Bangalore,Apr 03 - Apr 05,
Concert - Living Legends & Budding Masters,Music & Concerts,Alliance Francaise de Bangalore,Vasanth Nagar,Apr 04,
Blockbuster Holly/Bollywood with DJ Hussain,Nightlife - ,No Limits Lounge & Club,Ashok Nagar,Apr 04,
77th Sree Ramanavami National Music Festival - Day 8,Music & Concerts - ,Sree Ramaseva Mandali,Rajaji Nagar,Apr 04,
Vocal Concert by Vid. Sampagodu Vighnaraja,Music & Concerts - ,Augusta Club,J.P Nagar,Apr 04,
Eventurouz ll Saturday ''Danzation'' 28th Feb @What The F? ,Nightlife - ,What the F - Food and Fun,St. Marks Road,Feb 28 - Aug 22,
Short+Sweet Ten Minute Theatre Festival Bengaluru 2015,Theatre & Arts - ,Alliance Francaise de Bangalore,Vasanth Nagar,Apr 05 - May 03,
Sunday Karaoke Night at No Limmits Lounge,Nightlife - ,No Limits Lounge & Club,Ashok Nagar,Apr 05,
Punjabi Stand Up Comedy Show,Theatre & Arts - ,Alliance Francaise de Bangalore,Vasanth Nagar,Apr 11,
77th Sree Ramanavami National Music Festival - Day 15,Music & Concerts - ,Sree Ramaseva Mandali,Rajaji Nagar,Apr 11,
77th Sree Ramanavami National Music Festival - Day 16,Music & Concerts - ,Sree Ramaseva Mandali,Rajaji Nagar,Apr 12,
event,type,place,place1,date,time
Colours of Bengal: Art Exhibition,Arts & Crafts,Karnataka Chitrakala Parishath, Seshadripuram,"Apr 6, 2015 ",10:00 AM AM to 07:00 PM AM
Skylight,Films,"PVR Bengaluru - Classic Cinemas, Koramangala", Koramangala,"Apr 6, 2015 ",04:00 PM AM Onwards
Frames Of Mind: Exhibition,Arts & Crafts,Galerie Crescent, High Grounds,"Apr 6, 2015 ",10:00 AM AM to 07:00 PM AM
Tuesdays With The Bard: Venkat Purushotham,Arts & Crafts,Urban Solace, Ulsoor,"Apr 7, 2015",08:00 PM AM to 09:30 PM AM
Colours of Bengal: Art Exhibition,Arts & Crafts,Karnataka Chitrakala Parishath, Seshadripuram,"Apr 7, 2015",10:00 AM AM to 07:00 PM AM
Skylight,Films,"PVR Bengaluru - Classic Cinemas, Koramangala", Koramangala,"Apr 7, 2015",04:00 PM AM Onwards
Worms Cottage,Nightlife,The Humming Tree, Indiranagar,"Apr 8, 2015",08:30 PM AM Onwards
Zor: Dancing The Gypsy Trail,Music & Dance,Jagriti Theatre, Whitefield,"Apr 8, 2015",08:00 PM AM Onwards
Skylight,Films,"PVR Bengaluru - Classic Cinemas, Koramangala", Koramangala,"Apr 8, 2015",04:00 PM AM Onwards
Skylight,Films,"PVR Bengaluru - Classic Cinemas, Koramangala", Koramangala,"Apr 9, 2015",04:00 PM AM Onwards
Frames Of Mind: Exhibition,Arts & Crafts,Galerie Crescent, High Grounds,"Apr 9, 2015",10:00 AM AM to 07:00 PM AM
No Honking Art Exhibition,Arts & Crafts,Phoenix Market City, Whitefield,"Apr 9, 2015",11:00 AM AM to 09:00 PM AM
Gokhale And Liberal Nationalism,Books,Bangalore International Centre, Domlur,"Apr 10, 2015",06:30 PM AM Onwards
Spring Talents,Family & Kids,Chowdiah Memorial Hall, Malleshwaram,"Apr 10, 2015",07:00 PM AM Onwards
Skylight,Films,"PVR Bengaluru - Classic Cinemas, Koramangala", Koramangala,"Apr 10, 2015",04:00 PM AM Onwards
Tejawaswi Parisarakatha Prasanga,Standup & Theater,Kengal Hanumantiah Kala Soudha, Basavanagudi,"Apr 11, 2015",07:30 PM AM Onwards
Stand Up For Jakkur,Standup & Theater,Jus Trufs, Yelahanka,"Apr 11, 2015",08:00 PM AM Onwards
Film Screening: Eldorado Preljocaj,Films,Alliance Francaise De Bangalore, Vasanth Nagar,"Apr 11, 2015",08:00 PM AM Onwards
Frames Of Mind: Exhibition,Arts & Crafts,Galerie Crescent, High Grounds,"Apr 12, 2015",10:00 AM AM to 07:00 PM AM
No Honking Art Exhibition,Arts & Crafts,Phoenix Market City, Whitefield,"Apr 12, 2015",11:00 AM AM to 09:00 PM AM
Thought Experiments,Standup & Theater,The Big Pitcher, Kodihalli,"Apr 12, 2015",08:30 PM AM Onwards
77th Sree Ramanavami National Music Festival,Music & Concerts - ,Sree Ramaseva Mandali,Rajaji Nagar,Mar 28 - Apr 23,
Short+Sweet Ten Minute Theatre Festival Bengaluru 2015,Theatre & Arts - ,Alliance Francaise de Bangalore,Vasanth Nagar,Apr 05 - May 03,
77th Sree Ramanavami National Music Festival - Day 11,Music & Concerts - ,Sree Ramaseva Mandali,Rajaji Nagar,Apr 07,
Vaave - Play,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Apr 07,
Nisha Millets Swim Camps April 2015,Sports & Outdoor - ,Aratt Sportsworld,Begur,Apr 04 - Apr 20,
Buskya Night - Guest Performers,Nightlife - ,Opus,Palace Road,Apr 07,
Tuesday Night - DJ Abi,Nightlife - ,Loft 38,Indira Nagar,Apr 07,
Candy Shop Night - DJ Nash & DJ Raghu,Nightlife - ,Pebble - The Jungle Lounge,Sadashiva Nagar,Apr 07,
Stand Up for Jakkur with Sumukhi Suresh & Naveen Richard,Theatre & Arts - ,Jus' Trufs Cafe,Jakkur,Apr 11,
Punjabi Stand Up Comedy Show,Theatre & Arts - ,Alliance Francaise de Bangalore,Vasanth Nagar,Apr 11,
